2015-05-18 15:24:44 startup archives unpack
2015-05-18 15:24:48 install ttf-bengali-fonts <none> 1:0.5.11
2015-05-18 15:24:48 status half-installed ttf-bengali-fonts 1:0.5.11
2015-05-18 15:24:48 status triggers-pending fontconfig 2.8.0-2.1
2015-05-18 15:24:48 status half-installed ttf-bengali-fonts 1:0.5.11
2015-05-18 15:24:52 status unpacked ttf-bengali-fonts 1:0.5.11
2015-05-18 15:24:52 status unpacked ttf-bengali-fonts 1:0.5.11
2015-05-18 15:24:52 install ttf-gujarati-fonts <none> 1:0.5.11
2015-05-18 15:24:52 status half-installed ttf-gujarati-fonts 1:0.5.11
2015-05-18 15:24:52 status half-installed ttf-gujarati-fonts 1:0.5.11
2015-05-18 15:24:52 status unpacked ttf-gujarati-fonts 1:0.5.11
2015-05-18 15:24:52 status unpacked ttf-gujarati-fonts 1:0.5.11
2015-05-18 15:24:56 install ttf-kannada-fonts <none> 1:0.5.11
2015-05-18 15:24:56 status half-installed ttf-kannada-fonts 1:0.5.11
2015-05-18 15:24:57 status half-installed ttf-kannada-fonts 1:0.5.11
2015-05-18 15:24:58 status unpacked ttf-kannada-fonts 1:0.5.11
2015-05-18 15:24:58 status unpacked ttf-kannada-fonts 1:0.5.11
2015-05-18 15:25:00 install ttf-malayalam-fonts <none> 1:0.5.11
2015-05-18 15:25:00 status half-installed ttf-malayalam-fonts 1:0.5.11
2015-05-18 15:25:00 status half-installed ttf-malayalam-fonts 1:0.5.11
2015-05-18 15:25:01 status unpacked ttf-malayalam-fonts 1:0.5.11
2015-05-18 15:25:01 status unpacked ttf-malayalam-fonts 1:0.5.11
2015-05-18 15:25:06 install ttf-oriya-fonts <none> 1:0.5.11
2015-05-18 15:25:06 status half-installed ttf-oriya-fonts 1:0.5.11
2015-05-18 15:25:07 status half-installed ttf-oriya-fonts 1:0.5.11
2015-05-18 15:25:07 status unpacked ttf-oriya-fonts 1:0.5.11
2015-05-18 15:25:07 status unpacked ttf-oriya-fonts 1:0.5.11
2015-05-18 15:25:07 install ttf-punjabi-fonts <none> 1:0.5.11
2015-05-18 15:25:07 status half-installed ttf-punjabi-fonts 1:0.5.11
2015-05-18 15:25:08 status half-installed ttf-punjabi-fonts 1:0.5.11
2015-05-18 15:25:08 status unpacked ttf-punjabi-fonts 1:0.5.11
2015-05-18 15:25:08 status unpacked ttf-punjabi-fonts 1:0.5.11
2015-05-18 15:25:08 install ttf-tamil-fonts <none> 1:0.5.11
2015-05-18 15:25:08 status half-installed ttf-tamil-fonts 1:0.5.11
2015-05-18 15:25:08 status half-installed ttf-tamil-fonts 1:0.5.11
2015-05-18 15:25:09 status unpacked ttf-tamil-fonts 1:0.5.11
2015-05-18 15:25:09 status unpacked ttf-tamil-fonts 1:0.5.11
2015-05-18 15:25:10 install ttf-telugu-fonts <none> 1:0.5.11
2015-05-18 15:25:10 status half-installed ttf-telugu-fonts 1:0.5.11
2015-05-18 15:25:10 status half-installed ttf-telugu-fonts 1:0.5.11
2015-05-18 15:25:10 status unpacked ttf-telugu-fonts 1:0.5.11
2015-05-18 15:25:10 status unpacked ttf-telugu-fonts 1:0.5.11
2015-05-18 15:25:10 install ttf-indic-fonts <none> 1:0.5.11
2015-05-18 15:25:10 status half-installed ttf-indic-fonts 1:0.5.11
2015-05-18 15:25:10 status unpacked ttf-indic-fonts 1:0.5.11
2015-05-18 15:25:10 status unpacked ttf-indic-fonts 1:0.5.11
2015-05-18 15:25:10 trigproc fontconfig 2.8.0-2.1 2.8.0-2.1
2015-05-18 15:25:10 status half-configured fontconfig 2.8.0-2.1
2015-05-18 15:25:13 status installed fontconfig 2.8.0-2.1
2015-05-18 15:25:18 startup packages configure
2015-05-18 15:25:18 configure ttf-bengali-fonts 1:0.5.11 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-bengali-fonts 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-bengali-fonts 1:0.5.11
2015-05-18 15:25:18 status half-configured ttf-bengali-fonts 1:0.5.11
2015-05-18 15:25:18 status installed ttf-bengali-fonts 1:0.5.11
2015-05-18 15:25:18 configure ttf-gujarati-fonts 1:0.5.11 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-gujarati-fonts 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-gujarati-fonts 1:0.5.11
2015-05-18 15:25:18 status half-configured ttf-gujarati-fonts 1:0.5.11
2015-05-18 15:25:18 status installed ttf-gujarati-fonts 1:0.5.11
2015-05-18 15:25:18 configure ttf-kannada-fonts 1:0.5.11 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-kannada-fonts 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-kannada-fonts 1:0.5.11
2015-05-18 15:25:18 status half-configured ttf-kannada-fonts 1:0.5.11
2015-05-18 15:25:18 status installed ttf-kannada-fonts 1:0.5.11
2015-05-18 15:25:18 configure ttf-malayalam-fonts 1:0.5.11 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-malayalam-fonts 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-malayalam-fonts 1:0.5.11
2015-05-18 15:25:18 status half-configured ttf-malayalam-fonts 1:0.5.11
2015-05-18 15:25:18 status installed ttf-malayalam-fonts 1:0.5.11
2015-05-18 15:25:18 configure ttf-oriya-fonts 1:0.5.11 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-oriya-fonts 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-oriya-fonts 1:0.5.11
2015-05-18 15:25:18 status half-configured ttf-oriya-fonts 1:0.5.11
2015-05-18 15:25:18 status installed ttf-oriya-fonts 1:0.5.11
2015-05-18 15:25:18 configure ttf-punjabi-fonts 1:0.5.11 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-punjabi-fonts 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-punjabi-fonts 1:0.5.11
2015-05-18 15:25:18 status half-configured ttf-punjabi-fonts 1:0.5.11
2015-05-18 15:25:18 status installed ttf-punjabi-fonts 1:0.5.11
2015-05-18 15:25:18 configure ttf-tamil-fonts 1:0.5.11 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-tamil-fonts 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-tamil-fonts 1:0.5.11
2015-05-18 15:25:18 status half-configured ttf-tamil-fonts 1:0.5.11
2015-05-18 15:25:18 status installed ttf-tamil-fonts 1:0.5.11
2015-05-18 15:25:18 configure ttf-telugu-fonts 1:0.5.11 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-telugu-fonts 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-telugu-fonts 1:0.5.11
2015-05-18 15:25:18 status half-configured ttf-telugu-fonts 1:0.5.11
2015-05-18 15:25:18 status installed ttf-telugu-fonts 1:0.5.11
2015-05-18 15:25:18 configure ttf-indic-fonts 1:0.5.11 1:0.5.11
2015-05-18 15:25:18 status unpacked ttf-indic-fonts 1:0.5.11
2015-05-18 15:25:18 status half-configured ttf-indic-fonts 1:0.5.11
2015-05-18 15:25:18 status installed ttf-indic-fonts 1:0.5.11
2015-05-18 19:46:48 startup archives unpack
2015-05-18 19:46:52 install gtk2-engines-sapwood <none> 3.1.1.debian.10+0m5-1
2015-05-18 19:46:52 status half-installed gtk2-engines-sapwood 3.1.1.debian.10+0m5-1
2015-05-18 19:46:54 status unpacked gtk2-engines-sapwood 3.1.1.debian.10+0m5-1
2015-05-18 19:46:54 status unpacked gtk2-engines-sapwood 3.1.1.debian.10+0m5-1
2015-05-18 19:46:55 install libhildon-1-0 <none> 2.1.34.debian.1-7
2015-05-18 19:46:55 status half-installed libhildon-1-0 2.1.34.debian.1-7
2015-05-18 19:46:56 status unpacked libhildon-1-0 2.1.34.debian.1-7
2015-05-18 19:46:56 status unpacked libhildon-1-0 2.1.34.debian.1-7
2015-05-18 19:46:57 install libhildonwm0 <none> 1:2.0.19.debian.1-3
2015-05-18 19:46:57 status half-installed libhildonwm0 1:2.0.19.debian.1-3
2015-05-18 19:46:57 status unpacked libhildonwm0 1:2.0.19.debian.1-3
